Identifier	Participant ID	count	Age.Band	Gender	keep	Expected Kinterm	Compositional Analysis	Which term was provided?	Reciprocal relationship	Task	correct_comp	correct_prod	correct	Referent_ID	Term	Task2	Kin.distance	Genealogical.distance	Half.sibling.merger	Same.sex.sibling.merger	Step.kin.merger	Task_name	Task_name2	Task_name3	Same-sex Sib Merger
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 1	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	yile 1	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 2	FB > F	1	1	2	0	1	0	comprehension	apposite	comprehension	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 3	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	munak 1	1 + 1S +1H	*	NA	1	TRUE	TRUE	TRUE	Referent 4	FBD > FD > Z	1	1	3	1	1	0	comprehension	apposite	comprehension	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	munak 1	1 + 1S +1H	*	NA	1	TRUE	TRUE	TRUE	Referent 5	FBD > FD > Z	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	kangkurl M	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 6	FFB > FF	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	mangka	2	*	NA	1	TRUE	TRUE	TRUE	Referent 7	FM	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	munak 1	1 + 2S+2H	*	NA	1	TRUE	TRUE	TRUE	Referent 8	FMZSD > FMSD > FBD > FD > Z	1	1	5	2	2	0	comprehension	inapposite	comprehension	2
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	pugarli	3 + 1S+1H	pugarli	NA	1	TRUE	TRUE	TRUE	Referent 9	FMZDS > FMDS > FZS	1	3	5	1	1	0	comprehension	inapposite	comprehension	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	kaka 2	4	nginarr	NA	1	TRUE	TRUE	TRUE	Referent 10	FMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	pipi 1	2	pipi	NA	1	TRUE	TRUE	TRUE	Referent 11	FZ	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	kaka 1	2	kaka	NA	1	TRUE	TRUE	TRUE	Referent 12	MB	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	mangka	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 13	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	thamuny 1M	2	*	NA	1	TRUE	TRUE	TRUE	Referent 14	MF	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	pipi 2	4	nginarr	NA	1	TRUE	TRUE	TRUE	Referent 15	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	pipi 2 nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 16	MMBD	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	nangkun	5	ngathan	NA	1	FALSE	FALSE	FALSE	Referent 17	MMBDS	1	5	5	0	0	0	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	kaka 1 by marriage	2 + 1M	*	NA	1	TRUE	TRUE	TRUE	Referent 18	FZH > MB	1	2	3	0	0	1	comprehension	apposite	comprehension	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	ngathan 2	5	ngathan	NA	2	NA	TRUE	TRUE	Referent 19	FMBDS	2	5	5	0	0	0	production	inapposite	production	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	yile 1	1 + 2S+1H	yile	NA	2	NA	TRUE	TRUE	Referent 20	FMZS > FMS > FB > F	2	1	4	1	2	0	production	inapposite	production	2
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	yile 2	4	pugarli	NA	2	NA	FALSE	FALSE	Referent 21	MMBS	2	4	4	0	0	0	production	inapposite	production	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	kale 1 by marriage	1 + 1S+1M	?pipi/?mama	NA	2	NA	FALSE	FALSE	Referent 22	FBW > FW > M	2	1	3	0	1	1	production	inapposite	production	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	pugarli	3	pugarli	1	2	NA	TRUE	TRUE	Referent 23	FZD	2	3	3	0	0	0	production	inapposite	production	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	pipi 1	2 + 1S+1H	pipi	NA	2	NA	TRUE	TRUE	Referent 24	FMZD > FMD > FZ	2	2	4	1	1	0	production	inapposite	production	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	munak 1	1	munak	NA	3	NA	TRUE	TRUE	Referent 1	B	3	1	1	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	wakal/newuy	2	wakal	NA	3	NA	TRUE	TRUE	Referent 25	FZ	3	2	2	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	wakal/newuy	1 + 2S+1H+1M	wakal	NA	3	NA	TRUE	TRUE	Referent 26	FMZSW > FMSW > FBW>FW > M	3	1	5	1	2	1	altercentricity	inapposite	altercentric production	2
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	mangka	2 + 1S	mangka	1	3	NA	TRUE	TRUE	Referent 27	FMZ > FM	3	2	3	0	1	0	altercentricity	inapposite	altercentric production	1
Participant 20	Participant 1	1	D 13;4_16	F	TRUE	wakal/newuy	1 + 2S+1H	wakal	NA	3	NA	TRUE	TRUE	Referent 28	FMZS >FMS > FB > F	3	1	4	1	2	0	altercentricity	inapposite	altercentric production	2
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 29	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 30	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	pipi	2	*	NA	1	TRUE	TRUE	TRUE	Referent 31	FZ	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	ngathan 1	1 + 2S	pule	NA	1	TRUE	TRUE	TRUE	Referent 32	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	wakal, muluk, nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 33	FZDS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	nangkun	5	nangkun	NA	1	TRUE	TRUE	TRUE	Referent 34	MMBDS	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kawu	2	kawu	NA	1	TRUE	TRUE	TRUE	Referent 35	MM	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	thamuny 2	3	*	NA	1	TRUE	TRUE	TRUE	Referent 7	MFZ	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	pipi, nginarr	4	nginarr	NA	1	TRUE	TRUE	TRUE	Referent 36	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kaka 1	2 + 1S+1H	kaka	NA	1	TRUE	TRUE	TRUE	Referent 37	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kawu by marriage	3 + 1S + 1M	kakurl	NA	1	TRUE	TRUE	TRUE	Referent 6	MFZHB > MFZH > MMB	1	3	5	0	1	1	comprehension	inapposite	comprehension	1
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	yile	1 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 38	FMZS > FMS > FB > F	1	1	4	1	2	0	comprehension	apposite	comprehension	2
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	ngathan 2	5	*	NA	1	TRUE	TRUE	TRUE	Referent 39	MFZSS	1	5	5	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	mangka	2 + 1S	nginarr	NA	1	TRUE	TRUE	TRUE	Referent 40	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	thamuny by marriage	3 + 1M	thamuny	NA	1	TRUE	TRUE	TRUE	Referent 41	FFZH > FMB	1	3	4	0	0	1	comprehension	inapposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	ngathan 2 and kaka	5 and 2 + 2S	ngathan	NA	1	TRUE	TRUE	TRUE	Referent 42	FMBDS and MFBS > MFS > MB	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kawu	4	*	NA	1	TRUE	TRUE	TRUE	Referent 43	MMB	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	munak 2	5	munak	NA	1	TRUE	TRUE	TRUE	Referent 5	MFZSD	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kale 1	1 + 2S+1H	kale	NA	2	FALSE	TRUE	TRUE	Referent 44	MFBD > MFD > MZ > M	2	1	4	1	2	0	production	inapposite	production	2
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kaka 2	4	nginarr	NA	2	FALSE	FALSE	FALSE	Referent 45	FFZS	2	4	4	0	0	0	production	inapposite	production	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	yile 1	1 + 2S+1H	derdi?	NA	2	FALSE	TRUE	TRUE	Referent 46	FFBS > FFS > FB > F	2	1	4	1	2	0	production	inapposite	production	2
